model_a,model_b,dataset,column,metric,n_common_notes,n_boot,delta_point,delta_boot_mean,delta_ci_lo,delta_ci_hi,p_value,p_fdr
gpt4o,phi4,4CE,assertion_status,accuracy,21,2000,0.4245659850759742,0.42611407469971824,0.36657290895316524,0.4797797484169146,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,begin_date,f1,21,2000,0.46573330189876866,0.4647527501459167,0.3986162454048008,0.5210122819528462,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,begin_date,accuracy,21,2000,0.3374816021867115,0.33814989387364514,0.28145213298495314,0.38714707839528095,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,end_date,f1,21,2000,0.4716347282991623,0.47181722704364104,0.41191155105046784,0.5319760381463681,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,end_date,accuracy,21,2000,0.34264155712841254,0.34427236107856324,0.29246496533616595,0.4024994317548621,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,value,f1,21,2000,0.43484302107317735,0.4350453962312648,0.3422343444046788,0.5242944730225979,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,value,accuracy,21,2000,0.4528320550920586,0.45316321938294896,0.35128208536902944,0.5511197534444301,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,unit,f1,21,2000,0.4446304311437385,0.4470877944688378,0.34385271218722024,0.5577487744658488,0.0005,0.0009230769230769232
gpt4o,phi4,4CE,unit,accuracy,21,2000,0.4322091128412667,0.4342998603131239,0.3321837673624035,0.5398871739768455,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,code,f1,7,2000,0.8193709991650432,0.8196201620266205,0.7814635613203192,0.8516304347826087,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,code,accuracy,7,2000,0.694012258368694,0.6947302946932714,0.6413132480384851,0.7415996213913867,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,assertion_status,f1,7,2000,0.40482619539801706,0.40761865310434914,0.2749414777281862,0.5661588975302763,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,assertion_status,accuracy,7,2000,0.4527107537376213,0.45334880786548654,0.3084852874804658,0.588678213558103,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,begin_date,f1,7,2000,0.4950215326189016,0.49563792046443605,0.3973721087685598,0.5783276522931949,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,begin_date,accuracy,7,2000,0.38268149628394493,0.3841239934199842,0.3002331426793863,0.46281527771819264,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,end_date,f1,7,2000,0.5071513385146805,0.508115416183189,0.4154885654885655,0.5843289467533427,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,end_date,accuracy,7,2000,0.39289186222756495,0.39480374795250317,0.3157751538234423,0.4694684650119529,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,value,f1,7,2000,0.41609942244224424,0.4214875691879287,0.2478432539145955,0.6267246998343982,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,value,accuracy,7,2000,0.4541906673921609,0.45352880445300536,0.2929397612739532,0.6178911616904545,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,unit,f1,7,2000,0.38953488372093015,0.3930219318463565,0.3092156336895,0.4989302343226291,0.0005,0.0009230769230769232
gpt4o,phi4,coral_breastca,unit,accuracy,7,2000,0.389666599039697,0.38960767980243055,0.3218865773724708,0.4557308878607623,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,code,f1,9,2000,0.8474654377880184,0.847631600142491,0.8307187616386574,0.8665893950735963,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,code,accuracy,9,2000,0.7353058776489404,0.7356710924171911,0.7104524851548417,0.7645855749725571,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,assertion_status,f1,9,2000,0.6639197115962598,0.667875534484796,0.4563117890398414,0.8350483850541196,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,assertion_status,accuracy,9,2000,0.6499690785405071,0.6491660676606186,0.4989334071153634,0.7546145364209043,0.0005,0.0009230769230769232
gpt4o,phi4,coral_pdac,begin_date,f1,9,2000,0.6789458068465084,0.683252142021759,0.5158981298920142,0.8339744171186151,0.0005,0.0009230769230769232
