model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
deepseek,4CE,assertion_status,accuracy,0.6997177134791813,0.6992033610961289,0.017814873129517423,0.6660545856887137,0.7344177051571134,21,2000
deepseek,4CE,begin_date,precision,0.884318766066838,0.8764978430695696,0.07791801024171133,0.6935786485306046,0.9779784062791398,21,2000
deepseek,4CE,begin_date,recall,0.6231884057971014,0.6226718931436336,0.08272831339878713,0.47471052631578947,0.8000423728813557,21,2000
deepseek,4CE,begin_date,f1,0.7311370882040382,0.7261792216078524,0.07553823092228681,0.5695111419614284,0.8725409472825894,21,2000
deepseek,4CE,begin_date,accuracy,0.576214405360134,0.5755752413730962,0.09304140817442784,0.3981234381004754,0.7739003553091747,21,2000
deepseek,4CE,end_date,precision,0.8711111111111111,0.8549922825398878,0.07944280572727538,0.6505571211576128,0.9655186890182114,21,2000
deepseek,4CE,end_date,recall,0.6006128702757916,0.5947057531150324,0.089193616489165,0.4246382855859613,0.7728710256410253,21,2000
deepseek,4CE,end_date,f1,0.7110036275695283,0.6994969399387301,0.0820971396228883,0.5176110030873876,0.8442404321633652,21,2000
deepseek,4CE,end_date,accuracy,0.551594746716698,0.5438626162854423,0.09548299719441432,0.3491735329532969,0.7304638583033644,21,2000
deepseek,4CE,value,precision,0.9679767103347889,0.968038970591016,0.009196819135628097,0.947930279370919,0.9847940287551112,21,2000
deepseek,4CE,value,recall,0.7037037037037037,0.7041532074724391,0.0359476943451385,0.6324615384615384,0.7745907716391498,21,2000
deepseek,4CE,value,f1,0.8149509803921569,0.814708663950568,0.02386522774175399,0.7662714090462565,0.860647676161919,21,2000
deepseek,4CE,value,accuracy,0.687693898655636,0.6880320179166634,0.033961281398135576,0.6211020922236109,0.7553832631264719,21,2000
deepseek,4CE,unit,precision,0.8857142857142857,0.8849207261507614,0.019544835050825344,0.8452761993035464,0.9210534427931728,21,2000
deepseek,4CE,unit,recall,0.7454909819639278,0.7445761375394112,0.031549961539835525,0.676955693069307,0.8012131989349563,21,2000
deepseek,4CE,unit,f1,0.809575625680087,0.8084292432999826,0.02374211073102186,0.757266705973648,0.847906294915325,21,2000
deepseek,4CE,unit,accuracy,0.680073126142596,0.6791169791793163,0.03316559784223759,0.6093557730146654,0.7359699052545919,21,2000
deepseek,coral_breastca,code,precision,0.7439613526570048,0.7437718630238912,0.01758150753152486,0.7089669381031963,0.7783533161211403,13,2000
deepseek,coral_breastca,code,recall,0.6928020565552699,0.6930757890468765,0.03272045634319343,0.6276494411747221,0.7543299936368028,13,2000
deepseek,coral_breastca,code,f1,0.7174708818635608,0.7172332965160745,0.02284435614162071,0.6698110118489382,0.7596778351031898,13,2000
deepseek,coral_breastca,code,accuracy,0.5594187856772185,0.559622542614939,0.027681861525963428,0.5035457583219546,0.6124842857607318,13,2000
deepseek,coral_breastca,assertion_status,precision,0.8113273106323836,0.81193716561282,0.018666327851895897,0.775085250563049,0.8489541735886907,13,2000
deepseek,coral_breastca,assertion_status,recall,0.7060780163289991,0.7061823397688824,0.02894975539817737,0.6490120759442971,0.7618855165024999,13,2000
deepseek,coral_breastca,assertion_status,f1,0.7550525464834277,0.7549527422921849,0.018308134899774713,0.7180048194204197,0.7910608894942004,13,2000
deepseek,coral_breastca,assertion_status,accuracy,0.6064935064935065,0.6067118127102815,0.02362068960547816,0.5600682672773141,0.6543430373131172,13,2000
deepseek,coral_breastca,begin_date,precision,0.929097605893186,0.9286924616799566,0.021634098760705742,0.8855907385229541,0.9696228456778294,13,2000
deepseek,coral_breastca,begin_date,recall,0.6118859915100061,0.6120639333636663,0.055579815641184666,0.5033499030686308,0.713861073313985,13,2000
deepseek,coral_breastca,begin_date,f1,0.7378427787934186,0.7363056126962789,0.0416233033000213,0.6506991293410965,0.8098761100245658,13,2000
deepseek,coral_breastca,begin_date,accuracy,0.5845886442641947,0.5843692501070815,0.05193149287867675,0.4822490999622478,0.6804973137268358,13,2000
